Dep_Name,Pearson_Corr
"财通证券有限责任公司湖州红旗路证券营业部,国元证券股份有限公司天津浦口道证券营业部",0.2
"财通证券有限责任公司湖州红旗路证券营业部,中国银河证券股份有限公司湖州适园路证券营业部",0.2
"广发证券股份有限公司锦州山西街证券营业部,大同证券经纪有限责任公司朔州开发南路证券营业部",0.285714285714
"财达证券有限责任公司邯郸丛台路证券营业部,安信证券股份有限公司上海四川中路证券营业部",0.2
"财达证券有限责任公司邯郸丛台路证券营业部,华泰证券股份有限公司深圳民田路营业部",0.2
"华福证券有限责任公司宁德蕉城南路证券营业部,东吴证券股份有限公司昆山环城北路证券营业部",0.2
"国开证券有限责任公司北京中关村南大街证券营业部,平安证券有限责任公司青岛香港中路证券营业部",0.2
"大同证券经纪有限责任公司晋城凤台西街证券营业部,财通证券股份有限公司杭州凤起路证券营业部",0.2
"申银万国证券股份有限公司福建厦门厦禾路营业部,齐鲁证券有限公司淄博青年路证券营业部",0.222222222222
"太平洋证券股份有限公司玉溪玉兴路证券营业部,安信证券股份有限公司梅州丰顺证券营业部",0.2
"世纪证券有限责任公司南昌北京西路证券营业部,方正证券股份有限公司三门中海路证券营业部",0.2
"国泰君安证券股份有限公司长春卫星路证券营业部,中信证券股份有限公司温岭万昌中路证券营业部",0.2
"国泰君安证券股份有限公司上海宜山路第二证券营业部,爱建证券有限责任公司上海龙水北路证券营业部",0.2
"新时代证券有限责任公司包头广场西道证券营业部,新时代证券有限责任公司包头少先路证券营业部",0.428571428571
"中国中投证券有限责任公司重庆民权路证券营业部,申万宏源证券有限公司上海普陀区中山北路证券营业部",0.2
"国泰君安证券股份有限公司重庆九尺坎证券营业部,中原证券股份有限公司新乡人民路证券营业部",0.2
"信达证券股份有限公司常州延陵中路证券营业部,安信证券股份有限公司客户资产管理部",0.2
"国联证券股份有限公司南通工农路证券营业部,东北证券股份有限公司敦化证券营业部",0.2
"国元证券股份有限公司上海襄阳北路证券营业部,广发证券股份有限公司武汉珞瑜路证券营业部",0.2
"国信证券股份有限公司大连和平广场证券营业部,中银国际证券有限责任公司大连黄河路证券营业部",0.2
"华泰证券股份有限公司宜都清江大道证券营业部,中信建投证券股份有限公司襄阳襄城鼓楼巷证券营业部",0.2
"安信证券股份有限公司阳江安宁路证券营业部,南京证券有限责任公司南京新华路证券营业部",0.2
"中信建投证券股份有限公司淄博市中心路证券营业部,金元证券股份有限公司长沙人民东路证券营业部",0.2
"安信证券股份有限公司合肥长江西路证券营业部,中信建投证券股份有限公司北京燕山燕房路证券营业部",0.2
"海通证券股份有限公司营口辽河大街证券营业部,广发证券股份有限公司秦皇岛河北大街证券营业部",0.2
"光大证券股份有限公司广州林和西路证券营业部,东兴证券股份有限公司佛山汾江南路证券营业部",0.214285714286
"广发证券股份有限公司秦皇岛河北大街证券营业部,浙商证券股份有限公司北京朝阳门北大街证券营业部",0.2
"华创证券有限责任公司南京和燕路证券营业部,华泰证券股份有限公司南京中央路证券营业部",0.25
"渤海证券股份有限公司天津广东路证券营业部,国元证券股份有限公司天津浦口道证券营业部",0.2
"渤海证券股份有限公司天津广东路证券营业部,东吴证券股份有限公司昆山环城北路证券营业部",0.2
"国元证券股份有限公司天津浦口道证券营业部,中国银河证券股份有限公司湖州适园路证券营业部",0.2
"东北证券股份有限公司大连七七街证券营业部,华泰证券股份有限公司大连胜利路证券营业部",0.285714285714
"方正证券股份有限公司东莞万道路证券营业部,东兴证券股份有限公司南京洪武路证券营业部",0.2
"中信建投证券有限责任公司吉安市井冈山大道证券营业部,万联证券有限责任公司荆门长宁大道证券营业部",0.25
"方正证券股份有限公司株洲新华西路证券营业部,光大证券股份有限公司长沙人民中路证券营业部",0.4
"方正证券股份有限公司株洲新华西路证券营业部,中原证券股份有限公司商丘分公司",0.4
"东莞证券有限责任公司东莞鸿福路第一国际证券营业部,国信证券股份有限公司东莞胜和路证券营业部",0.222222222222
