INFO:root:Time start : 2016-05-16-08:56:37
INFO:root:accumulate return : -0.01731
INFO:root:accumulate return : 0.03606
INFO:root:accumulate return : 0.04013
INFO:root:accumulate return : 0.00690999999999
INFO:root:accumulate return : 0.03975
INFO:root:accumulate return : 0.01624
INFO:root:accumulate return : 0.05864
INFO:root:accumulate return : -0.0034
INFO:root:accumulate return : 0.04283
INFO:root:accumulate return : 0.0215
INFO:root:accumulate return : 0.01315
INFO:root:accumulate return : 0.06487
INFO:root:accumulate return : 0.04653
INFO:root:accumulate return : 0.02214
INFO:root:accumulate return : 0.05124
INFO:root:accumulate return : -0.0224
INFO:root:accumulate return : 0.03205
INFO:root:accumulate return : -0.00635
INFO:root:accumulate return : -0.00834000000001
INFO:root:accumulate return : 0.03657
INFO:root:accumulate return : 0.04523
INFO:root:accumulate return : 0.06064
INFO:root:accumulate return : -0.03286
INFO:root:accumulate return : 0.04405
INFO:root:accumulate return : 0.02974
INFO:root:accumulate return : -0.02648
INFO:root:accumulate return : 0.01718
INFO:root:accumulate return : 0.01966
INFO:root:accumulate return : 0.01065
INFO:root:accumulate return : -0.00413
INFO:root:accumulate return : 0.000849999999999
INFO:root:accumulate return : 0.04238
INFO:root:accumulate return : -0.00276000000001
INFO:root:accumulate return : 0.0218
INFO:root:accumulate return : 0.02196
INFO:root:accumulate return : 0.03287
INFO:root:accumulate return : -0.00613
INFO:root:accumulate return : 0.03644
INFO:root:accumulate return : 0.0025
INFO:root:accumulate return : 0.03255
INFO:root:accumulate return : 0.01664
INFO:root:accumulate return : 0.02233
INFO:root:accumulate return : 0.01178
INFO:root:accumulate return : 0.05884
INFO:root:accumulate return : 0.05352
INFO:root:accumulate return : 0.02533
INFO:root:accumulate return : 0.00407
INFO:root:accumulate return : 0.01273
INFO:root:accumulate return : 0.02671
INFO:root:accumulate return : 0.03874
INFO:root:accumulate return : 0.01831
INFO:root:accumulate return : 0.01926
INFO:root:accumulate return : 0.00686
INFO:root:accumulate return : 0.04118
INFO:root:accumulate return : 0.03471
INFO:root:accumulate return : -0.03989
INFO:root:accumulate return : -0.01542
INFO:root:accumulate return : 0.00215
INFO:root:accumulate return : 0.03555
INFO:root:accumulate return : 0.00551
INFO:root:accumulate return : 0.04274
INFO:root:accumulate return : 0.01208
INFO:root:accumulate return : -0.0159
INFO:root:accumulate return : -0.00334
INFO:root:accumulate return : 0.02274
INFO:root:accumulate return : 0.0244
INFO:root:accumulate return : 0.01473
INFO:root:accumulate return : 0.0146
INFO:root:accumulate return : -0.000349999999998
INFO:root:accumulate return : 0.01549
INFO:root:accumulate return : 0.06497
INFO:root:accumulate return : 0.03796
INFO:root:accumulate return : -0.02446
INFO:root:accumulate return : 0.06318
INFO:root:accumulate return : 0.01233
INFO:root:accumulate return : 0.01584
INFO:root:accumulate return : -0.00659000000001
INFO:root:accumulate return : -0.00198000000001
INFO:root:accumulate return : 0.000249999999997
INFO:root:accumulate return : 0.05146
INFO:root:accumulate return : -0.01121
INFO:root:accumulate return : 0.00792
INFO:root:accumulate return : 0.01655
INFO:root:accumulate return : 0.03034
INFO:root:accumulate return : 0.04065
INFO:root:accumulate return : 0.04313
INFO:root:accumulate return : 0.00481
INFO:root:accumulate return : -0.00522
INFO:root:accumulate return : 0.000359999999997
INFO:root:accumulate return : -0.03635
INFO:root:accumulate return : 0.03493
INFO:root:accumulate return : 0.02308
INFO:root:accumulate return : 0.000749999999995
INFO:root:accumulate return : 0.04514
INFO:root:accumulate return : 0.04175
INFO:root:accumulate return : 0.02498
INFO:root:accumulate return : 0.04622
INFO:root:accumulate return : 0.01842
INFO:root:accumulate return : 0.02332
