,accumulate return
1260,-0.01471
1261,0.01444
1262,0.04505
1263,0.0095
1264,0.02136
1265,0.02003
1266,0.01503
1267,0.02158
1268,0.06474
1269,0.0395
1270,0.03429
1271,0.03803
1272,0.06556
1273,-0.000680000000001
1274,0.03709
1275,0.02939
1276,0.03018
1277,0.0278
1278,0.05285
1279,0.04969
1280,0.02509
1281,-0.000130000000004
1282,0.02122
1283,0.02107
1284,0.01534
1285,0.03571
1286,-0.00119
1287,0.02236
1288,0.05347
1289,0.00131
1290,0.05426
1291,0.01433
1292,0.07217
1293,0.05934
1294,0.01878
1295,0.03904
1296,0.03726
1297,0.01888
1298,0.01189
1299,0.02989
1300,0.05027
1301,0.07904
1302,0.02278
1303,0.03455
1304,0.0496
1305,0.02333
1306,0.02755
1307,0.03823
1308,0.0679
1309,0.05202
1310,0.07236
1311,0.03826
1312,0.04782
1313,0.02896
1314,0.03878
1315,0.02939
1316,0.04457
1317,0.09882
1318,0.03607
1319,0.01987
1320,0.07597
1321,0.03133
1322,0.04694
1323,0.02216
1324,0.01259
1325,0.02709
1326,-0.00108
1327,0.06718
1328,0.02978
1329,0.04962
1330,0.06349
1331,0.03591
1332,-0.01138
1333,0.04948
1334,0.03028
1335,0.01419
1336,0.00242
1337,0.04019
1338,0.0218
1339,0.02856
1340,0.03509
1341,0.03367
1342,0.03498
1343,0.07641
1344,0.00808
1345,0.04831
1346,-0.01457
1347,0.06836
1348,0.02471
1349,0.02544
1350,0.02116
1351,0.01922
1352,0.09095
1353,0.03725
1354,-0.02955
1355,0.02139
1356,0.02063
1357,0.0565
1358,0.03778
1359,0.0331
1360,0.04614
1361,0.04529
1362,0.09297
1363,0.08417
1364,-0.00253
1365,0.03137
1366,0.0585
1367,0.03816
1368,0.07587
1369,0.07943
1370,0.04459
1371,0.0358
1372,-0.02581
1373,0.04737
1374,-0.01008
1375,0.04281
1376,0.012
1377,0.02797
1378,0.04733
1379,0.07384
1380,0.02093
1381,0.01741
1382,0.02618
1383,0.01369
1384,0.01101
1385,0.01736
1386,0.03111
1387,0.03007
1388,0.03712
1389,0.03449
1390,0.04654
1391,0.04546
1392,0.03414
1393,0.07757
1394,0.03221
1395,0.05473
1396,0.02657
1397,0.05259
1398,0.00284
1399,0.06657
1400,-0.03713
1401,5.99999999979e-05
1402,0.067
1403,0.04154
1404,0.03872
1405,0.03652
1406,0.03174
1407,0.0691
1408,0.05534
1409,0.04669
1410,0.02197
1411,0.01941
1412,0.03001
1413,-0.01699
1414,0.03401
1415,0.01589
1416,0.01611
