,accumulate return
1514,0.13647
1515,0.13387
1516,0.13129
1517,0.17702
1518,0.09361
1519,0.11409
1520,0.07587
1521,0.17197
1522,0.11353
1523,0.15222
1524,0.14538
1525,0.11454
1526,0.12339
1527,0.15925
1528,0.16273
1529,0.07471
1530,0.18521
1531,0.14149
1532,0.08765
1533,0.15161
1534,0.14394
1535,0.07459
1536,0.12096
1537,0.11152
1538,0.17583
1539,0.19023
1540,0.10015
1541,0.19676
1542,0.18874
1543,0.15071
1544,0.08933
1545,0.14997
1546,0.20077
1547,0.11628
1548,0.15827
1549,0.11961
1550,0.11369
1551,0.14807
1552,0.16429
1553,0.13372
1554,0.12624
1555,0.07197
1556,0.12332
1557,0.16337
1558,0.13434
1559,0.14654
1560,0.10377
1561,0.13366
1562,0.15363
1563,0.19444
1564,0.14336
1565,0.12431
1566,0.12726
1567,0.13172
1568,0.16346
1569,0.10335
1570,0.1362
1571,0.1709
1572,0.07463
1573,0.12826
1574,0.14673
1575,0.15555
1576,0.10688
1577,0.11833
1578,0.16494
1579,0.18687
1580,0.16007
1581,0.13412
1582,0.15949
1583,0.15302
1584,0.14628
1585,0.14455
1586,0.17181
1587,0.14321
1588,0.25209
1589,0.1368
1590,0.06598
1591,0.07455
1592,0.16919
1593,0.17465
1594,0.18947
1595,0.14892
1596,0.16357
1597,0.16445
1598,0.13054
1599,0.10417
1600,0.13247
1601,0.11894
1602,0.17919
1603,0.11683
1604,0.1151
1605,0.15418
1606,0.14914
1607,0.12608
1608,0.13877
1609,0.15522
1610,0.16968
1611,0.13161
1612,0.15603
1613,0.12914
1614,0.15482
1615,0.16816
1616,0.1206
1617,0.1296
1618,0.14511
1619,0.14308
1620,0.18005
1621,0.1293
1622,0.12029
1623,0.22273
1624,0.07379
1625,0.13202
1626,0.16922
1627,0.21185
1628,0.10736
1629,0.21586
1630,0.14168
1631,0.20587
1632,0.07979
1633,0.15809
1634,0.14599
1635,0.18278
1636,0.1934
1637,0.13786
1638,0.11412
1639,0.13299
1640,0.18401
1641,0.10854
1642,0.17274
1643,0.16898
1644,0.21012
1645,0.15499
1646,0.17788
1647,0.14076
1648,0.15367
1649,0.11555
1650,0.13508
1651,0.11953
1652,0.16715
1653,0.15808
1654,0.15565
1655,0.14311
1656,0.11972
1657,0.08471
1658,0.10726
1659,0.09893
1660,0.17482
1661,0.10809
1662,0.15745
1663,0.18589
1664,0.13336
1665,0.15994
1666,0.18768
1667,0.17342
1668,0.10383
1669,0.14853
1670,0.14636
1671,0.13782
1672,0.1615
1673,0.12525
1674,0.0891
1675,0.09404
1676,0.15856
1677,0.12012
1678,0.14303
1679,0.13206
1680,0.1298
1681,0.09069
1682,0.18357
1683,0.16497
1684,0.14772
1685,0.15475
1686,0.08732
1687,0.15074
1688,0.07641
1689,0.11577
1690,0.13868
1691,0.11722
1692,0.17264
1693,0.21467
1694,0.16366
1695,0.1445
1696,0.13839
1697,0.17503
1698,0.0987
1699,0.15366
1700,0.15293
1701,0.17914
1702,0.19685
1703,0.11539
1704,0.10445
1705,0.13119
1706,0.10859
1707,0.21891
1708,0.13396
1709,0.15384
1710,0.13437
1711,0.18105
1712,0.19473
1713,0.10909
1714,0.1047
1715,0.12624
1716,0.08304
1717,0.10263
1718,0.18774
1719,0.11655
1720,0.16923
1721,0.12337
1722,0.09058
1723,0.10355
1724,0.14343
1725,0.22395
1726,0.18038
1727,0.07024
1728,0.14789
1729,0.12026
1730,0.10123
1731,0.15821
1732,0.13468
1733,0.19455
1734,0.18928
1735,0.16452
1736,0.15003
1737,0.15052
1738,0.15905
1739,0.11456
1740,0.19526
1741,0.22167
1742,0.11242
1743,0.13399
1744,0.11222
1745,0.16021
1746,0.1731
1747,0.16303
1748,0.129
1749,0.09989
1750,0.13626
1751,0.17871
1752,0.15865
1753,0.18792
1754,0.19013
1755,0.1594
1756,0.19576
1757,0.16544
1758,0.15855
1759,0.14093
1760,0.1127
1761,0.16189
1762,0.17503
1763,0.08405
1764,0.22313
1765,0.09372
1766,0.18038
1767,0.15227
1768,0.1624
1769,0.12018
1770,0.14886
1771,0.13548
1772,0.14053
1773,0.15144
1774,0.13134
1775,0.19539
1776,0.13443
1777,0.12392
1778,0.11178
1779,0.12242
1780,0.08304
1781,0.1223
1782,0.15653
1783,0.20211
1784,0.09327
1785,0.14171
1786,0.13184
1787,0.13455
1788,0.21749
1789,0.16019
1790,0.167
1791,0.17478
1792,0.11186
1793,0.10324
1794,0.14255
1795,0.104
1796,0.13201
1797,0.19222
1798,0.18009
1799,0.13776
1800,0.15493
1801,0.1805
1802,0.11697
1803,0.14226
1804,0.13067
1805,0.14471
1806,0.17477
1807,0.12155
1808,0.20483
1809,0.16955
1810,0.18472
1811,0.17669
1812,0.09607
1813,0.14094
1814,0.09829
1815,0.11781
1816,0.15582
1817,0.16128
1818,0.13313
1819,0.12261
1820,0.19502
1821,0.1551
1822,0.11838
1823,0.15271
1824,0.214
1825,0.19091
1826,0.14356
1827,0.161
1828,0.16206
1829,0.19283
1830,0.12194
1831,0.17822
1832,0.07463
1833,0.13264
1834,0.18687
1835,0.13819
1836,0.11632
